Parent Genre,Genre / Subgenre,Level,BPM Min,BPM Max,Typical BPM,Common Keys,Camelot,Drum Feel,DJ Set Placement,Energy (1-10),Mixes Well With,Transition Tip,Sound Colour FX,Beat FX,Transition Loop (bars),Beat FX Setting (beat),Beat FX Depth (%),Mix-In / Mix-Out,Vocal Density / Layerability,Double-Drop / Mashup,Blend Length (bars),Intro (bars),Intro Feel,Build (bars),Build Feel,Drop/Main (bars),Drop/Main Feel,Breakdown (bars),Breakdown Feel,Outro (bars),Outro Feel,Typical Length,Phrasing,Track Structure,Origin,Era,Sound Signature,Sound Design / Instrumentation,Drum Programming,Harmony Approach,Production Techniques,Scale / Mode,Chord Progression,Essential Synths / Plugins,Mix / Master Targets,Representative Artists,Landmark Track,Key Labels,Peak / Momentum (yrs),Fuses Into / Related,Notes,Top Track 1,Top Track 2,Top Track 3,Top Track 4,Top Track 5
140 / Deep Dubstep / Grime,140 / Deep Dubstep / Grime,Genre,130,150,130-150,Minor (E/F min),"9A, 4A",Halftime,Afterhours,7,"Dubstep, UK Garage, Grime","Sparse blend, swap on the drop",Dub Echo + Filter - dub sirens & echoes,Echo & Reverb for dub space; Roll to build,4-8 bars,Echo 1/1 (dub); Reverb,30-60%,In: 16-bar intro. Out: on the drop / breakdown,Med - grime is MC/vocal-led,Med - drops can align,8-16 bars,16,"Deep, spacious set-up",8,"Sub pressure builds, sparse tension",16,Heavy rootsy sub-weight - meditative but menacing,16,Spacious dub breather,16,Beat tail for mix,4-5 min,8/16-bar,Rootsy 140 dubstep/grime: DJ intro -> deep sub drop -> breakdown -> second drop -> outro. Halftime feel.,"London, UK",2000s,Rootsy 140 dubstep + grime; deep sub weight,"Deep rolling sub-bass, sparse stabs, dub sirens/FX","Halftime 140 - kick on 1, snare on 3, minimal, spacious","Dark minor, sub-driven, sparse melody","Sub sound-design, dub delays/reverb, space & tension, restraint",Phrygian / minor,"i-bII deep, sub-led","Sub design (Serum), dub FX; Serum",Master ~-7 LUFS; deep mono sub; spacious,"Mala, Digital Mystikz",,"DMZ, Deep Medi",2006-present,"Grime, UK Garage",Beatport merged category,Midnight Request Line - Skream (2005),Eskimo - Wiley (2002),Anti-War Dub - Digital Mystikz (2006),Left Leg Out - Mala (2007),Pulse X - Musical Mob (2002)
140 / Deep Dubstep / Grime,Grime,Subgenre,130,140,130-140,Minor (E/F min),"9A, 4A",Halftime,Peak,7,"140/Deep Dubstep, UK Garage, Dubstep","Sparse blend, cut on the drop",Dub Echo + Filter - dub sirens & echoes,Echo & Reverb for dub space; Roll to build,4-8 bars,Echo 1/1 (dub); Reverb,30-60%,In: 16-bar intro. Out: on the drop / breakdown,Med - grime is MC/vocal-led,Med - drops can align,8-16 bars,16,"Deep, spacious set-up",8,"Sub pressure builds, sparse tension",16,Heavy rootsy sub-weight - meditative but menacing,16,Spacious dub breather,16,Beat tail for mix,4-5 min,8/16-bar,"140 BPM, square-wave riddim; instrumental loop or MC-led verse/hook; short, punchy.","London, UK",early 2000s,"140 BPM, square-wave bass, MC-led","Square-wave/eski bass, sparse strings, sirens","140 BPM syncopated grime beat, sparse","Dark minor, sub & stab-led","Square-wave bass design, sparse arrangement, MC space",Natural minor / Phrygian,"i-bII dark, sub & stab","Square-wave/eski bass, strings; Serum",Master ~-7 LUFS; mono sub; sparse mix,"Wiley, Skepta",Skepta - That's Not Me,,2003-08; revival 2014-17,"UK Garage, Dubstep",,"Fix Up, Look Sharp - Dizzee Rascal (2003)",That's Not Me - Skepta ft JME (2014),Wot Do U Call It? - Wiley (2004),P's and Q's - Kano (2005),Shut Up - Stormzy (2015)
140 / Deep Dubstep / Grime,Deep Dubstep,Subgenre,140,140,140,Minor (E/F min),"9A, 4A",,,7,"Dubstep, UK Garage, Grime","Sparse blend, swap on the drop",Dub Echo + Filter - dub sirens & echoes,Echo & Reverb for dub space; Roll to build,4-8 bars,Echo 1/1 (dub); Reverb,30-60%,In: 16-bar intro. Out: on the drop / breakdown,Med - grime is MC/vocal-led,Med - drops can align,8-16 bars,16,"Deep, spacious set-up",8,"Sub pressure builds, sparse tension",16,Heavy rootsy sub-weight - meditative but menacing,16,Spacious dub breather,16,Beat tail for mix,4-5 min,8/16-bar,Meditative 140: long intro -> deep sub-bass drop -> spacious breakdown -> second drop -> outro.,,,"Meditative 140 dubstep - deep rolling sub-bass, minimal, spacious","Deep rolling sub-bass, sparse stabs, dub sirens/FX","Halftime 140 - kick on 1, snare on 3, minimal, spacious","Dark minor, sub-driven, sparse melody","Sub sound-design, dub delays/reverb, space & tension, restraint",Phrygian / minor,"i-bII deep, sub-led","Sub design (Serum), dub FX; Serum",Master ~-7 LUFS; deep mono sub; spacious,"Mala, Kryptic Minds",,,,140 / Grime,,,,,,
Afro House,Afro House,Genre,120,125,120-125,Minor (A/D/G min),"8A, 7A, 6A",Four-on-the-floor,Peak,5,"Amapiano, Organic House, Melodic House, Tech House","Loop the groove, long percussive blend",Filter + Dub Echo - echo the percussion & chants,Echo & Reverb on perc; Roll to build the groove,8-16 bars (groove blend),Echo 1/1 on perc; Reverb,30-50%,In/Out: loop the groove - very forgiving,High - chant/vocal-led; avoid two vocals,Low - groove/loop based,16-32 bars,32,Tribal percussion groove sets in,-,"Vocal chants & perc layer, tension builds",32,"Full tribal bounce - deep percussive drive, spiritual",16-32,"Percussion/vocal breather, groove holds",32,Perc strips for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,South Africa,2010s,"African percussion, tribal vocals, deep groove","African percussion, tribal vocals, deep bass, marimba/kalimba","Polyrhythmic percussion over 4/4, congas, shakers, toms","Modal/minor, chant vocals as the hook","Layered live percussion, vocal chopping, deep sub, spacious mix","Modal / minor, pentatonic",Modal vamp + chant hook,"Percussion libraries, Rhodes; Kontakt",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,"Black Coffee, Keinemusik, &ME",Black Coffee - Superman,"Keinemusik, MoBlack",surging 2021-present,"Organic House, Amapiano",Fastest-rising genre 2024-25,Superman - Black Coffee ft Bucie (2015),Drive - Black Coffee ft David Guetta & Delilah Montagu (2017),The Rapture Pt.II - &ME (2018),"Muyè - Keinemusik (&ME, Rampa, Adam Port) (2022)",LaLaLa - Black Coffee & Usher (2019)
Afro House,Afro / Latin,Subgenre,120,125,120-125,Minor (A/D/G min),"8A, 7A, 6A",,,5,"Amapiano, Organic House, Melodic House, Tech House","Loop the groove, long percussive blend",Filter + Dub Echo - echo the percussion & chants,Echo & Reverb on perc; Roll to build the groove,8-16 bars (groove blend),Echo 1/1 on perc; Reverb,30-50%,In/Out: loop the groove - very forgiving,High - chant/vocal-led; avoid two vocals,Low - groove/loop based,16-32 bars,32,Tribal percussion groove sets in,-,"Vocal chants & perc layer, tension builds",32,"Full tribal bounce - deep percussive drive, spiritual",16-32,"Percussion/vocal breather, groove holds",32,Perc strips for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Afro House with Latin percussion & rhythms, tribal groove","African percussion, tribal vocals, deep bass, marimba/kalimba","Polyrhythmic percussion over 4/4, congas, shakers, toms","Modal/minor, chant vocals as the hook","Layered live percussion, vocal chopping, deep sub, spacious mix","Modal / minor, pentatonic",Modal vamp + chant hook,"Percussion libraries, Rhodes; Kontakt",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,,,,,"Afro House, Latin House",,,,,,
Afro House,3Step,Subgenre,110,120,110-120,Minor (A/D/G min),"8A, 7A, 6A",,,5,"Amapiano, Organic House, Melodic House, Tech House","Loop the groove, long percussive blend",Filter + Dub Echo - echo the percussion & chants,Echo & Reverb on perc; Roll to build the groove,8-16 bars (groove blend),Echo 1/1 on perc; Reverb,30-50%,In/Out: loop the groove - very forgiving,High - chant/vocal-led; avoid two vocals,Low - groove/loop based,16-32 bars,32,Tribal percussion groove sets in,-,"Vocal chants & perc layer, tension builds",32,"Full tribal bounce - deep percussive drive, spiritual",16-32,"Percussion/vocal breather, groove holds",32,Perc strips for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,"Slower Afro House variant with a skippy, syncopated 3-step drum feel","African percussion, tribal vocals, deep bass, marimba/kalimba","Polyrhythmic percussion over 4/4, congas, shakers, toms","Modal/minor, chant vocals as the hook","Layered live percussion, vocal chopping, deep sub, spacious mix","Modal / minor, pentatonic",Modal vamp + chant hook,"Percussion libraries, Rhodes; Kontakt",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,,,,,"Afro House, UK Garage",,,,,,
Afro House,Afro Melodic,Subgenre,120,125,120-125,Minor (A/D/G min),"8A, 7A, 6A",,,5,"Amapiano, Organic House, Melodic House, Tech House","Loop the groove, long percussive blend",Filter + Dub Echo - echo the percussion & chants,Echo & Reverb on perc; Roll to build the groove,8-16 bars (groove blend),Echo 1/1 on perc; Reverb,30-50%,In/Out: loop the groove - very forgiving,High - chant/vocal-led; avoid two vocals,Low - groove/loop based,16-32 bars,32,Tribal percussion groove sets in,-,"Vocal chants & perc layer, tension builds",32,"Full tribal bounce - deep percussive drive, spiritual",16-32,"Percussion/vocal breather, groove holds",32,Perc strips for mix,6-8 min,16/32-bar,Extended DJ arrangement: 16-32 bar beat/percussive intro -> groove build -> breakdown -> drop/main section -> second groove -> 16-32 bar outro. 8/16/32-bar phrasing for mixing.,,,Afro House with emotive melodic leads and vocal hooks,"African percussion, tribal vocals, deep bass, marimba/kalimba","Polyrhythmic percussion over 4/4, congas, shakers, toms","Modal/minor, chant vocals as the hook","Layered live percussion, vocal chopping, deep sub, spacious mix","Modal / minor, pentatonic",Modal vamp + chant hook,"Percussion libraries, Rhodes; Kontakt",Master ~-7 to -9 LUFS (club); sub in mono <120Hz; sidechain bass to kick,,,,,"Melodic House, Afro House",,,,,,
Amapiano,Amapiano,Genre,112,115,112-115,Minor (A/D/G min),"8A, 7A, 6A",Syncopated (log-drum),Warmup/Peak,4,"Afro House, Afrobeats, Gqom","Loop the groove, long blend (no hard drop)",Filter + Dub Echo - echo the log-drum & vocals,Echo & Reverb for space; short Roll on the log-drum,8-16 bars,Echo 1/1 on log-drum; Reverb,30-50%,In/Out: anywhere in the loop - very forgiving,High - vocal loops; watch clashes,Low - loop/groove based,16-32 bars,32-64,Long hypnotic groove - log-drum & shaker in,-,"Subtle layering, vocal & jazzy pads enter",-,"Groove peak - bouncing log-drum pocket (no hard drop), soulful",16-32,"Percussion/vocal breather, groove stays",32,Elements strip for mix,6-8 min,16/32-bar,"Loop/groove-driven & extended: long intros, evolving log-drum + percussion layers, vocal loops; no hard drop.","Pretoria/Soweto, SA",mid 2010s,"Shuffled log-drum bass, jazzy pads, slow swing","Signature log-drum bass, jazzy Rhodes/piano, wide pads, shakers","Shuffled swung groove, log-drum as bass+rhythm, rim & shaker, soft kick","Jazzy 7th/9th piano chords, soulful minor","Log-drum sound-design, swing quantize, wide stereo pads, vocal loops",Dorian / minor + jazz 7ths,ii7-V7 jazzy soulful loops,"Log-drum kits, Rhodes; Kontakt/Serum, Ableton",Master ~-8 LUFS; wide pads; mono log-drum sub,"Kabza De Small, DJ Maphorisa",Kabza De Small - Sponono,Piano Hub,2019-present (surging),"Afro House, Gqom",South African house/jazz hybrid,"Sponono - Kabza De Small ft Wizkid, Burna Boy (2020)",Osama - Zakes Bantwini (2021),"Adiwele - Young Stunna, Kabza De Small, DJ Maphorisa (2021)",Abalele - Kabza De Small & DJ Maphorisa ft Ami Faku (2022),Asibe Happy - Kabza De Small & DJ Maphorisa ft Ami Faku (2022)
Ambient / Experimental,Ambient / Experimental,Genre,,,varies / beatless,Modal / drone,-,Beatless / free,Listening,1,"Downtempo, Organic House","Long ambient blend, no beatmatch",Space + Dub Echo + Filter - pure atmosphere,Reverb & long Echo; no rhythmic FX needed,free / 8-16 bars,Reverb; long Echo 2/1-4/1,"40-70%, textural","In/Out: free - no beatmatch, blend on atmosphere",Low - usually instrumental,Low - no drops,free,-,Drone/texture emerges - no beat,-,n/a - evolving texture,-,No dancefloor arc - immersive mood throughout,-,n/a - textural shift,-,Fades to silence,4-10 min,free-form,Free-form/beatless; evolving drones & textures; no dancefloor arrangement.,UK/Global,1970s-80s,"Atmospheric, often beatless, texture-focused","Evolving pads, drones, field recordings, granular textures",Often beatless or very sparse percussion,"Modal/drone, slow-evolving harmony","Long reverbs/delays, granular processing, generative/textural work",Modal / drone,Drone / slow-evolving,"Pads, granular, field rec; Omnisphere",Dynamic master ~-16 LUFS; wide stereo; keep dynamics,"Brian Eno, Jon Hopkins",Brian Eno - An Ending,,1978-present,"Downtempo, Electronica",Beatport renamed from Electronica cluster,An Ending (Ascent) - Brian Eno (1983),Music for Airports 1/1 - Brian Eno (1978),Immunity - Jon Hopkins (2013),Avril 14th - Aphex Twin (2001),Xtal - Aphex Twin (1992)
Bass / Club,Bass / Club,Genre,130,160,130-160,Minor (A/F min),"8A, 4A",Syncopated / broken,Peak,7,"Jersey Club, Juke/Footwork, Baltimore Club","Quick cut on the phrase, drum-loop bridge",Filter + Crush - club-edit grit,Roll & Vinyl Brake for cuts; Echo bridges,2-4 bars,Roll 1/8; Vinyl Brake; Echo,40-70%,In: short intro. Out: quick cut on the phrase,Med-High - chopped vocals,Med - short drop-swaps,4-8 bars,8-16,Syncopated club groove in,-,Vocal chop tension,16,"Bass-heavy club bounce - hype, edit-driven energy",16,Vocal/beat breather,8-16,Short tail for mix,2-4 min,8/16-bar,"Loop/groove-driven club edits: syncopated drums, vocal chops, sub-bass. Short, DJ-tool oriented.",Global,2010s,"Club-edit hybrids: footwork, jersey, gqom, global","Chopped vocals, deep kick, samples, club-edit bass","Syncopated/broken club kick pattern, bounce","Sample-led, minimal minor","Vocal & sample chopping, kick programming, edit-style arrangement","Natural minor, sample-led","Sample-led, minimal","Chopped vocals, 808; Serum",Master ~-7 LUFS; mono sub; club-edit punch,,,,2015-present,"Jersey Club, Juke/Footwork",Umbrella for club/bass hybrids,Feelin - DJ Rashad (2013),Baby Come On - RP Boo (2013),Buss It - DJ Sliink,Microdosing - UNIIQU3,Bank Head - Kingdom (2013)
